"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"2016. 03",102.86,98.85,99.69,101.15,100.44,87.47,101.58,98.27,100,105.04,100,101.66,100.92,101.44,101.79,1504,223,336,405,2148,1210,1243,929,660,5.9,4.7,299.69,205.25,407.56,200.47
"2016. 04",102.58,99.33,100.95,101.15,100.62,88.17,101.66,98.27,100,105.04,100,101.66,100.92,101.44,101.79,1484,228,337,408,2101,1211,1244,926,679,5.6,4.6,299.69,205.25,407.56,200.47
"2016. 05",100.54,99.55,100.87,101.67,100.62,90.07,101.86,98.27,100,105.04,100,101.66,100.92,101.44,101.79,1519,233,340,406,1974,1213,1246,935,682,5.6,3.8,299.69,205.25,407.56,200.47
"2016. 06",98.62,100.08,101,101.66,100.62,94.6,102.05,98.27,100,105.04,100,101.66,101.59,101.44,101.79,1292,226,340,408,1889,1214,1247,943,674,6.3,4.3,299.69,206.03,407.56,200.47
"2016. 07",98.97,99.92,101.53,101.64,100.48,94.81,102.18,98.27,100,105.04,100,101.66,99.28,101.44,101.79,983,235,342,406,2024,1215,1248,948,681,5.8,3.7,299.69,206.03,407.56,200.47
"2016. 08",101.07,99.82,101.7,101.64,100.48,93.25,102.24,98.27,100,105.49,100,101.66,101.74,101.44,101.79,952,226,338,408,1956,1216,1249,932,673,4.3,4.5,299.69,206.03,407.56,200.47
"2016. 09",108.73,99.87,101.83,101.66,100.48,92.62,102.37,98.27,100,105.49,99.1,101.66,102.46,101.44,101.79,1077,223,340,400,2050,1217,1250,935,663,4.9,4.5,299.72,206.03,407.56,200.78
"2016. 10",105.67,100,101.62,101.89,100.48,92.83,102.64,98.27,100,105.49,99.1,101.66,102.07,101.44,101.79,1868,228,341,395,1780,1218,1251,938,660,4.2,4.7,299.72,206.03,407.56,200.78
"2016. 11",104.58,100.04,100.29,102.46,101.02,93.83,102.8,98.27,100,105.49,99.1,101.66,99.33,101.44,101.79,1760,214,342,400,1803,1219,1252,933,660,4.2,4.4,299.72,206.03,407.56,200.78
"2016. 12",106.72,100.23,100.65,102.38,101.18,95.52,102.96,98.27,100,105.49,99.1,101.66,100.53,101.44,101.79,1479,218,340,398,1585,1220,1253,919,655,3.9,4.1,299.72,206.03,407.56,200.78
"2017. 01",110.71,100.96,101.05,102.4,101.33,99.34,103.03,98.27,100,105.5,99.1,101.66,102.03,103,101.79,1087,211,335,399,1985,1221,1254,915,660,5.4,5.3,299.72,206.03,407.56,200.77
"2017. 02",111.08,101.3,101.54,102.5,102.18,100.51,103.27,98.27,100,105.5,99.1,101.66,102.11,103,101.79,1159,219,336,400,1732,1222,1255,934,671,7,5.4,299.72,206.66,407.56,200.77
"2017. 03",108.76,101.14,101.14,102.52,102.18,100.16,103.63,99.58,100,108.03,99.1,101.66,104.87,103,101.79,1348,219,335,397,1900,1224,1256,936,666,5.7,4.2,298.95,206.66,407.56,200.93
"2017. 04",107.1,100.85,101.64,102.54,102.18,98.53,103.65,99.58,100,108.03,100.85,101.66,105.64,103,101.79,1447,220,339,396,1696,1224,1256,942,666,5.6,4.8,298.95,206.66,408.88,200.93
"2017. 05",105.76,101.09,101.85,102.95,102.18,98.24,103.89,99.58,100,108.03,101.77,101.66,105.64,103.64,101.79,1471,231,337,394,1696,1226,1257,951,675,5.2,4.2,298.95,206.66,408.88,200.93
"2017. 06",104.87,101.04,101.76,102.95,103.34,96.84,103.98,99.58,100,108.03,101.77,101.66,105.89,104.29,101.79,1099,227,334,392,1696,1226,1258,954,666,4.9,3.7,298.95,206.66,408.88,200.93
"2017. 07",104.38,100.62,101.74,102.9,102.49,94.6,104.16,99.58,100,108.03,101.77,101.66,105.4,104.69,101.79,729,231,335,392,1743,1227,1259,951,661,4.7,3.3,298.95,206.66,408.88,200.93
"2017. 08",109.95,100.85,101.55,102.64,102.49,96.39,104.3,99.58,100,108.03,101.77,101.66,105.88,104.69,101.79,739,222,334,389,1753,1228,1260,934,660,5.4,3.2,298.95,206.66,408.88,200.93
"2017. 09",112.25,101.09,101.84,102.69,102.49,98.13,104.34,99.58,100,108.03,101.77,101.66,105.7,104.69,101.79,1185,226,335,392,1786,1229,1261,936,674,5.5,2.7,298.95,206.66,408.88,200.93
